Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Raju Kulkarni "," 						  45.40 					"," 						  3.72 					"," 						  73.2 					","36.92836"
"Umesh Kulkarni "," 						  47.60 					"," 						  3.18 					"," 						  89.6 					","38.77972"
"Vaman Kumar "," 						  28.85 					"," 						  2.00 					"," 						  86.4 					","21.3336133333"
"Anil Kumble "," 						  29.65 					"," 						  2.69 					"," 						  65.9 					","21.9029491667"
"Abey Kuruvilla "," 						  35.68 					"," 						  3.03 					"," 						  70.6 					","27.400456"
"Karn Sharma "," 						  59.50 					"," 						  4.85 					"," 						  73.5 					","52.3550416667"
"Praveen Kumar "," 						  25.81 					"," 						  2.59 					"," 						  59.6 					","18.5905128333"
"VVS Laxman "," 						  63.00 					"," 						  2.33 					"," 						  162.0 					","57.32475"
"Madan Lal "," 						  40.08 					"," 						  2.84 					"," 						  84.4 					","31.441424"
"Maninder Singh "," 						  37.36 					"," 						  2.40 					"," 						  93.3 					","29.013776"
"Vijay Manjrekar "," 						  44.00 					"," 						  1.29 					"," 						  204.0 					","41.063"
"Vinoo Mankad "," 						  32.32 					"," 						  2.13 					"," 						  90.6 					","24.416144"
"Paras Mhambrey "," 						  74.00 					"," 						  3.44 					"," 						  129.0 					","67.2413333333"
"Debasis Mohanty "," 						  59.75 					"," 						  3.33 					"," 						  107.5 					","51.3401875"
"Venatappa Muddiah "," 						  44.66 					"," 						  2.52 					"," 						  106.0 					","36.12994"
"Mushtaq Ali "," 						  67.33 					"," 						  3.20 					"," 						  126.0 					","59.8339266667"
"Abhimanyu Mithun "," 						  50.66 					"," 						  3.80 					"," 						  80.0 					","42.1322333333"
"Amit Mishra "," 						  35.72 					"," 						  3.19 					"," 						  67.1 					","27.5145206667"
"Bapu Nadkarni "," 						  29.07 					"," 						  1.67 					"," 						  104.1 					","21.9657765"
"Mohammad Nissar "," 						  28.28 					"," 						  3.50 					"," 						  48.4 					","21.2373373333"
"Bobjee Narasimha Rao "," 						  75.66 					"," 						  2.94 					"," 						  154.3 					","70.371366"
"Suru Nayak "," 						  132.00 					"," 						  3.42 					"," 						  231.0 					","146.718"
"C.K.Nayudu "," 						  42.88 					"," 						  2.69 					"," 						  95.3 					","34.1975146667"
"C.S. Nayudu "," 						  179.50 					"," 						  4.12 					"," 						  261.0 					","217.613833333"
"Nazir Ali "," 						  20.75 					"," 						  3.60 					"," 						  34.5 					","15.12675"
"Ashish Nehra "," 						  42.40 					"," 						  3.24 					"," 						  78.3 					","33.73344"
"Shah Nyalchand "," 						  32.33 					"," 						  1.51 					"," 						  128.0 					","25.6727141667"
"Naoomal Jeoomal "," 						  34.00 					"," 						  3.77 					"," 						  54.0 					","26.4491666667"
"Pragyan Ojha "," 						  30.26 					"," 						  2.68 					"," 						  67.5 					","22.4327466667"
"Ajit Pai "," 						  15.50 					"," 						  1.63 					"," 						  57.0 					","10.2157916667"
"Dhiraj Parsana "," 						  50.00 					"," 						  2.50 					"," 						  120.0 					","41.7916666667"
"Nawab of Pataudi "," 						  88.00 					"," 						  4.00 					"," 						  132.0 					","83.3653333333"
"Jasubhai Patel "," 						  21.96 					"," 						  2.21 					"," 						  59.4 					","15.321858"
"Sandeep Patil "," 						  26.66 					"," 						  2.23 					"," 						  71.6 					","19.2827336667"
"Sadashiv Patil "," 						  25.50 					"," 						  2.21 					"," 						  69.0 					","18.281375"
"Dattu Phadkar "," 						  36.85 					"," 						  2.28 					"," 						  96.6 					","28.60297"
"Manoj Prabhakar "," 						  37.30 					"," 						  2.87 					"," 						  77.8 					","28.8335216667"
"Venkatesh Prasad "," 						  35.00 					"," 						  2.86 					"," 						  73.3 					","26.7201666667"
"Erapalli Prasanna "," 						  30.38 					"," 						  2.40 					"," 						  75.9 					","22.535884"
"Ramesh Powar "," 						  19.66 					"," 						  2.80 					"," 						  42.0 					","13.7095733333"
"Bhuvneshwar Kumar "," 						  26.09 					"," 						  2.94 					"," 						  53.1 					","18.985693"
"Irfan Pathan "," 						  32.26 					"," 						  3.28 					"," 						  58.8 					","24.4831893333"
"Munaf Patel "," 						  38.54 					"," 						  3.04 					"," 						  75.9 					","30.0277986667"
"Piyush Chawla "," 						  38.57 					"," 						  3.29 					"," 						  70.2 					","30.1739538333"
"Pankaj Singh "," 						  146.00 					"," 						  3.89 					"," 						  225.0 					","164.529833333"
"Venkatapathy Raju "," 						  30.72 					"," 						  2.25 					"," 						  81.7 					","22.875648"
"Woorkeri Raman "," 						  64.50 					"," 						  2.22 					"," 						  174.0 					","59.82375"
"Gulabrai Ramchand "," 						  46.31 					"," 						  2.28 					"," 						  121.3 					","38.233536"
"Commandur Rangachari "," 						  54.77 					"," 						  3.49 					"," 						  94.0 					","46.0935191667"
"Vasant Ranjane "," 						  34.15 					"," 						  3.07 					"," 						  66.5 					","26.0251458333"
"Vivek Razdan "," 						  28.20 					"," 						  3.52 					"," 						  48.0 					","21.1876"
"Pankaj Roy "," 						  66.00 					"," 						  3.80 					"," 						  104.0 					","58.058"
"Suresh Raina "," 						  46.38 					"," 						  3.47 					"," 						  80.0 					","37.679885"
"Balwinder Sandhu "," 						  55.70 					"," 						  3.27 					"," 						  102.0 					","47.052575"
"Chandu Sarwate "," 						  124.66 					"," 						  3.41 					"," 						  219.3 					","135.569827667"
"Chetan Sharma "," 						  35.45 					"," 						  3.74 					"," 						  56.8 					","27.7136283333"
"Gopal Sharma "," 						  41.80 					"," 						  1.91 					"," 						  130.7 					","34.3937366667"
"Sanjeev Sharma "," 						  41.16 					"," 						  3.57 					"," 						  69.0 					","32.77365"
"Ravi Shastri "," 						  40.96 					"," 						  2.35 					"," 						  104.3 					","32.5911893333"
"Sadu Shinde "," 						  59.75 					"," 						  2.83 					"," 						  126.2 					","51.8321291667"
"Rakesh Shukla "," 						  76.00 					"," 						  3.10 					"," 						  147.0 					","70.2873333333"
"Iqbal Siddiqui "," 						  48.00 					"," 						  2.52 					"," 						  114.0 					","39.6"
"Robin Singh "," 						  58.66 					"," 						  4.40 					"," 						  80.0 					","50.8386666667"
"Laxman Sivaramakrishnan "," 						  44.03 					"," 						  2.90 					"," 						  91.0 					","35.2753683333"
"Ranga Sohoni "," 						  101.00 					"," 						  2.27 					"," 						  266.0 					","112.556083333"
"Eknath Solkar "," 						  59.44 					"," 						  2.83 					"," 						  125.8 					","51.5156573333"
"Rohit Sharma "," 						  101.00 					"," 						  3.62 					"," 						  167.0 					","100.511833333"
"Javagal Srinath "," 						  30.49 					"," 						  2.85 					"," 						  64.0 					","22.6921825"
"Gundibail Sunderam "," 						  55.33 					"," 						  2.51 					"," 						  132.0 					","47.6068541667"
"Rusi Surti "," 						  46.71 					"," 						  3.04 					"," 						  92.1 					","37.906722"
"Sarandeep Singh "," 						  34.00 					"," 						  3.00 					"," 						  67.8 					","25.8604"
"Rahul Sanghvi "," 						  39.00 					"," 						  6.32 					"," 						  37.0 					","34.814"
"Venkataraman Subramanya "," 						  67.00 					"," 						  2.71 					"," 						  148.0 					","60.5735833333"
"Sreesanth "," 						  37.59 					"," 						  3.62 					"," 						  62.2 					","29.529451"
"Surendranath "," 						  40.50 					"," 						  2.42 					"," 						  100.0 					","32.04225"
"Virender Sehwag "," 						  47.35 					"," 						  3.04 					"," 						  93.2 					","38.5302733333"
"RP Singh "," 						  42.05 					"," 						  3.98 					"," 						  63.3 					","34.0086383333"
"Vikram Singh "," 						  53.37 					"," 						  3.82 					"," 						  83.6 					","44.832579"
"Sachin Tendulkar "," 						  54.17 					"," 						  3.52 					"," 						  92.1 					","45.4775206667"
"Polly Umrigar "," 						  42.08 					"," 						  1.87 					"," 						  135.0 					","34.8878266667"
"Srinivas Venkataraghavan "," 						  36.11 					"," 						  2.27 					"," 						  95.3 					","27.9136318333"
"Margashayam Venkataramana "," 						  58.00 					"," 						  4.97 					"," 						  70.0 					","51.0351666667"
"Vijay Bharadwaj "," 						  107.00 					"," 						  2.59 					"," 						  247.0 					","117.173916667"
"Gundappa Viswanath "," 						  46.00 					"," 						  3.94 					"," 						  70.0 					","37.7123333333"
"Vinay Kumar "," 						  73.00 					"," 						  5.61 					"," 						  78.0 					","68.12725"
"Atul Wassan "," 						  50.40 					"," 						  4.24 					"," 						  71.2 					","42.32256"
"Shivlal Yadav "," 						  35.09 					"," 						  2.56 					"," 						  81.9 					","26.7783486667"
"Yashpal Sharma "," 						  17.00 					"," 						  3.40 					"," 						  30.0 					","12.0416666667"
"Yograj Singh "," 						  63.00 					"," 						  4.20 					"," 						  90.0 					","55.125"
"Tinu Yohannan "," 						  51.20 					"," 						  3.16 					"," 						  97.2 					","42.4311466667"
"Yuvraj Singh "," 						  60.77 					"," 						  3.52 					"," 						  103.4 					","52.3918426667"
"Varun Aaron "," 						  52.61 					"," 						  4.77 					"," 						  66.0 					","45.2577525"
"Umesh Yadav "," 						  35.90 					"," 						  3.61 					"," 						  59.5 					","27.9870416667"
"Amir Elahi "," 						  35.42 					"," 						  3.72 					"," 						  57.1 					","27.670104"
"Gul Mohammad "," 						  12.00 					"," 						  1.87 					"," 						  38.5 					","7.633"
"Abdul Kardar "," 						  45.42 					"," 						  2.11 					"," 						  129.1 					","37.756889"
"Jayant Yadav "," 						  33.36 					"," 						  3.51 					"," 						  57.0 					","25.6455"
"Mohammed Shami "," 						  28.90 					"," 						  3.38 					"," 						  51.2 					","21.6624766667"
"Kuldeep Yadav "," 						  20.77 					"," 						  3.22 					"," 						  38.6 					","14.8512423333"
"Hardik Pandya "," 						  36.71 					"," 						  3.09 					"," 						  71.1 					","28.3566395"
"Jasprit Bumrah "," 						  25.21 					"," 						  3.14 					"," 						  48.0 					","18.3822916667"
